khdx,33077,-106120,4270,376,HOLLOMAN AFB
khgx,29472,-95079,115,378,HOUSTON
khnx,36314,-119632,340,363,SAN JOAQUIN VALY
khpx,36737,-87285,624,364,FT CAMPBELL
khtx,34931,-86084,1859,826,NORTHEAST ALABAMA
kict,37654,-97443,1403,562,WICHITA
kicx,37591,-112862,10756,330,CEDAR CITY 
kiln,39420,-83822,1170,338,CINCINNATI
kilx,40150,-89337,730,549,LINCOLN
kind,39708,-86280,887,381,INDIANAPOLIS
kinx,36175,-95564,749,557,TULSA
kiwa,33289,-111670,1426,524,PHOENIX
kiwx,41359,-85700,1055,827,NORTHERN INDIANA
kjax,30485,-81702,159,383,JACKSONVILLE
kjgx,32675,-83351,618,535,ROBINS AFB
kjkl,37591,-83313,1461,373,"JACKSON, KY"
klbb,33654,-101814,3378,398,LUBBOCK
klch,30125,-93216,136,391,LAKE CHARLES
klgx,47116,-124106,366,870,NORTHWEST WASHINGTON
klix,30337,-89825,179,545,SLIDELL
klnx,41958,-100576,3112,517,NORTH PLATTE
klot,41604,-88085,760,337,CHICAGO
klrx,40740,-116803,6895,564,ELKO 
klsx,38699,-90683,721,308,ST LOUIS
kltx,33989,-78429,145,563,WILMINGTON
klvx,37975,-85944,833,397,LOUISVILLE
klwx,38976,-77487,404,303,STERLING
klzk,34836,-92262,649,395,LITTLE ROCK
kmaf,31943,-102189,2961,518,MIDLAND/ODESSA
kmax,42081,-122717,7553,500,MEDFORD 
kmbx,48393,-100864,1590,507,MINOT AFB
kmhx,34776,-76876,144,375,MOREHEAD CITY
kmkx,42968,-88551,1022,504,MILWAUKEE
kmlb,28113,-80654,149,302,MELBOURNE
kmob,30679,-88240,289,509,MOBILE
kmpx,44849,-93565,1101,506,MINNEAPOLIS
kmqt,46531,-87548,1525,399,MARQUETTE
kmrx,36168,-83402,1434,387,KNOXVILLE
kmsx,47041,-113986,7978,508,MISSOULA 
kmtx,41263,-112448,6593,537,SALT LAKE CITY 
kmux,37155,-121898,3550,541,SAN FRANCISCO
kmvx,47528,-97325,1080,360,FARGO/GRAND FORKS
kmxx,32537,-85790,560,354,MAXWELL AFB
knkx,32919,-117041,1052,540,SAN DIEGO
knqa,35345,-89873,435,501,MEMPHIS
koax,41320,-96367,1260,519,OMAHA
kohx,36247,-86563,676,512,NASHVILLE
kokx,40865,-72864,198,515,BROOKHAVEN
kotx,47681,-117626,2449,547,SPOKANE
koun,35236,-97462,1294,999,NSSL
kpah,37068,-88772,505,521,PADUCAH
kpbz,40532,-80218,1266,526,PITTSBURGH
kpdt,45691,-118853,1580,522,PENDLETON
kpoe,31155,-92976,472,339,FT POLK
kpux,38460,-104181,5363,529,PUEBLO
krax,35665,-78490,461,531,RALEIGH/DURHAM
krgx,39754,-119462,8396,533,RENO 
kriw,43066,-108477,5633,392,RIVERTON/LANDER
krlx,38311,-81723,1212,334,"CHARLESTON, WV"
krtx,45715,-122965,1728,527,"PORTLAND, OR"
ksfx,43106,-112686,4539,546,POCATELLO
ksgf,37235,-93400,1375,548,SPRINGFIELD
kshv,32451,-93841,386,543,SHREVEPORT
ksjt,31371,-100492,2004,538,SAN ANGELO
ksox,33818,-117636,3105,574,SANTA ANA MTS
ksrx,35290,-94362,737,825,WESTERN ARKANSAS
ktbw,27705,-82402,122,552,TAMPA
ktfx,47460,-111385,3804,370,GREAT FALLS
ktlh,30398,-84329,176,551,TALLAHASSEE
ktlx,35333,-97278,1277,1,NORMAN
ktwx,38997,-96232,1415,554,TOPEKA
ktyx,43756,-75680,1960,850,FT DRUM
kudx,44125,-102830,3194,532,RAPID CITY
kuex,40321,-98442,2057,367,GRAND ISLAND
kvax,30890,-83002,330,510,MOODY AFB
kvbx,34839,-120398,1354,559,VANDENBERG AFB
kvnx,36741,-98128,1258,558,VANCE AFB
kvtx,34412,-119179,2807,396,LOS ANGELES
kvwx,38260,-87724,627,851,"EVANSVILLE, IN"
kyux,32495,-114656,239,393,YUMA 
lpla,38730,-27321,3415,390,LAJES AB
nfr4,35238,-97460,1314,520,ROC NWS FR
nhq1,38975,-77478,369,303,NWSHQ TESTBED
nop3,35238,-97460,1314,520,ROC3 NWS RPG
nop4,35238,-97460,1314,520,ROC4 NWS RPG
nop5,35238,-97460,1314,520,ROC5 HOTLINE
nop6,35238,-97460,1314,520,ROC6 (ORDA Testing)
nop9,35238,-97460,1314,860,ROC9  ENG TESTBED
npc1,35236,-97462,1255,3,AWIPS RPG
nrc1,38810,-94264,1098,315,NRC #1
nrc2,38810,-94264,1098,578,NRC #2
nrc3,38810,-94264,1098,854,NRC #3
ntc1,38810,-94264,1098,571,TRAINING CENTER #1 NWSTC
ntc2,38810,-94264,1098,571,TRAINING CENTER #2 NWSTC
nux1,35238,-97460,1314,862,ROC PGM/SDS RPG
nwsg,35236,-97462,1255,520,GENERIC
pabc,60792,-161876,190,304,BETHEL FAA 
pacg,56853,-135528,272,553,SITKA FAA 
paec,64512,-165293,90,346,NOME FAA 
pahg,60726,-151351,356,344,KENAI FAA 
paih,59462,-146301,132,505,MIDDLETON ISLAND 
pakc,58680,-156627,144,568,KING SALMON FAA 
papd,65035,-147501,2707,525,FAIRBANKS FAA 
pgua,13456,144811,386,314,ANDERSEN AFB
phki,21894,-159552,340,550,SOUTH KAUAI FAA 
phkm,20125,-155778,3965,377,KAMUELA/KOHALA APT 
phmo,21133,-157180,1444,336,MOLOKAI FAA 
phwa,19095,-155569,1461,570,SOUTH SHORE FAA 
rcwf,25073,121773,2512,301,"TAIPEI, TAIWAN"
rkjk,35921,126625,191,388,KUNSAN AB
rksg,37207,127285,1521,327,CAMP HUMPHREYS
rodn,26308,127903,412,384,KADENA AB
rop3,35238,-97460,1314,520,ROC3 AS NWS REDUNDANT RPG
rop4,35238,-97460,1314,520,ROC4 AS NWS REDUNDANT RPG
rshi,31001,121885,145,210,"SHANGHAI, CHINA"
rtc2,38810,-94264,1098,571,TRAINING CENTER NWSTC (REDUNDANT)
tjua,18116,-66078,2958,502,SAN JUAN FAA 
